Asset,Asset Type,Primary Command,PRD Command,Parent,Paired Asset,Namespaces,Destination
"adr-writing-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","adr-writing-stinger","honeybee-core","agents/adr-writing-worker-bee.md"
"agile-scrum-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","agile-scrum-stinger","honeybee-core","agents/agile-scrum-worker-bee.md"
"ai-coding-tools-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","ai-coding-tools-stinger","my-computer","agents/ai-coding-tools-worker-bee.md"
"ai-tools-platform-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","ai-tools-platform-stinger","my-computer","agents/ai-tools-platform-worker-bee.md"
"api-docs-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","api-docs-stinger","websites","agents/api-docs-worker-bee.md"
"app-store-submission-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","app-store-submission-stinger","honeybee-core","agents/app-store-submission-worker-bee.md"
"archivist-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","archivist-stinger","honeybee-core","agents/archivist-worker-bee.md"
"asset-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","asset-stinger","honeybee-core","agents/asset-worker-bee.md"
"auth-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","auth-stinger","web-apps","agents/auth-worker-bee.md"
"branching-strategy-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","branching-strategy-stinger","honeybee-core","agents/branching-strategy-worker-bee.md"
"changelog-release-notes-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","changelog-release-notes-stinger","honeybee-core, marketing","agents/changelog-release-notes-worker-bee.md"
"ci-release-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","ci-release-stinger","honeybee-core","agents/ci-release-worker-bee.md"
"code-review-pr-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","code-review-pr-stinger","honeybee-core","agents/code-review-pr-worker-bee.md"
"competitive-research-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","competitive-research-stinger","marketing","agents/competitive-research-worker-bee.md"
"cron-scheduling-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","cron-scheduling-stinger","honeybee-core","agents/cron-scheduling-worker-bee.md"
"csv-xlsx-import-export-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","csv-xlsx-import-export-stinger","honeybee-core","agents/csv-xlsx-import-export-worker-bee.md"
"cursor-ide-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","cursor-ide-stinger","my-computer","agents/cursor-ide-worker-bee.md"
"dark-mode-theming-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","dark-mode-theming-stinger","web-apps","agents/dark-mode-theming-worker-bee.md"
"db-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","db-stinger","web-apps","agents/db-worker-bee.md"
