"Asset Type","Asset","Source","Harness","Last Updated UTC","Path Relative to Home","Kind","Source Relative Path"
"agents","adr-writing-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/adr-writing-guardian.md","file",".cursor/agents/adr-writing-guardian.md"
"agents","adr-writing-worker-bee.md","user global agents","","8/15/2026 4:05:49 AM",".agents/agents/adr-writing-worker-bee.md","file","agents/adr-writing-worker-bee.md"
"agents","adr-writing-worker-bee.md","user global claude","","8/15/2026 4:05:49 AM",".claude/agents/adr-writing-worker-bee.md","file","agents/adr-writing-worker-bee.md"
"agents","adr-writing-worker-bee.md","user global cursor","","8/15/2026 4:05:49 AM",".cursor/agents/adr-writing-worker-bee.md","file","agents/adr-writing-worker-bee.md"
"agents","adr-writing-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/adr-writing-worker-bee.md","file",".claude/agents/adr-writing-worker-bee.md"
"agents","adr-writing-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/adr-writing-worker-bee.md","file",".agents/agents/adr-writing-worker-bee.md"
"agents","adr-writing-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/adr-writing-worker-bee.md","file",".cursor/agents/adr-writing-worker-bee.md"
"agents","adr-writing-worker-bee.toml","user global codex","","8/15/2026 4:05:49 AM",".codex/agents/adr-writing-worker-bee.toml","file","agents/adr-writing-worker-bee.toml"
"agents","adr-writing-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/adr-writing-worker-bee.toml","file",".codex/agents/adr-writing-worker-bee.toml"
"agents","affiliate-referral-program-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/affiliate-referral-program-guardian.md","file",".cursor/agents/affiliate-referral-program-guardian.md"
"agents","affiliate-referral-program-worker-bee.md","user global claude","","6/18/2026 5:54:35 AM",".claude/agents/affiliate-referral-program-worker-bee.md","file","agents/affiliate-referral-program-worker-bee.md"
"agents","agile-scrum-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/agile-scrum-guardian.md","file",".cursor/agents/agile-scrum-guardian.md"
"agents","agile-scrum-worker-bee.md","user global agents","","8/15/2026 4:05:49 AM",".agents/agents/agile-scrum-worker-bee.md","file","agents/agile-scrum-worker-bee.md"
"agents","agile-scrum-worker-bee.md","user global claude","","8/15/2026 4:05:49 AM",".claude/agents/agile-scrum-worker-bee.md","file","agents/agile-scrum-worker-bee.md"
"agents","agile-scrum-worker-bee.md","user global cursor","","8/15/2026 4:05:49 AM",".cursor/agents/agile-scrum-worker-bee.md","file","agents/agile-scrum-worker-bee.md"
"agents","agile-scrum-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/agile-scrum-worker-bee.md","file",".claude/agents/agile-scrum-worker-bee.md"
"agents","agile-scrum-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/agile-scrum-worker-bee.md","file",".agents/agents/agile-scrum-worker-bee.md"
"agents","agile-scrum-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/agile-scrum-worker-bee.md","file",".cursor/agents/agile-scrum-worker-bee.md"
"agents","agile-scrum-worker-bee.toml","user global codex","","8/15/2026 4:05:49 AM",".codex/agents/agile-scrum-worker-bee.toml","file","agents/agile-scrum-worker-bee.toml"
"agents","agile-scrum-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/agile-scrum-worker-bee.toml","file",".codex/agents/agile-scrum-worker-bee.toml"
"agents","ai-coding-tools-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/ai-coding-tools-guardian.md","file",".cursor/agents/ai-coding-tools-guardian.md"
"agents","ai-coding-tools-worker-bee.md","user global agents","","8/15/2026 4:05:49 AM",".agents/agents/ai-coding-tools-worker-bee.md","file","agents/ai-coding-tools-worker-bee.md"
"agents","ai-coding-tools-worker-bee.md","user global claude","","8/15/2026 4:05:49 AM",".claude/agents/ai-coding-tools-worker-bee.md","file","agents/ai-coding-tools-worker-bee.md"
"agents","ai-coding-tools-worker-bee.md","user global cursor","","8/15/2026 4:05:49 AM",".cursor/agents/ai-coding-tools-worker-bee.md","file","agents/ai-coding-tools-worker-bee.md"
"agents","ai-coding-tools-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/ai-coding-tools-worker-bee.md","file",".claude/agents/ai-coding-tools-worker-bee.md"
"agents","ai-coding-tools-worker-bee.md","vibe-coding-tools local agents",".agents","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.agents/agents/ai-coding-tools-worker-bee.md","file",".agents/agents/ai-coding-tools-worker-bee.md"
"agents","ai-coding-tools-worker-bee.md","vibe-coding-tools local cursor",".cursor","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.cursor/agents/ai-coding-tools-worker-bee.md","file",".cursor/agents/ai-coding-tools-worker-bee.md"
"agents","ai-coding-tools-worker-bee.toml","user global codex","","8/15/2026 4:05:49 AM",".codex/agents/ai-coding-tools-worker-bee.toml","file","agents/ai-coding-tools-worker-bee.toml"
"agents","ai-coding-tools-worker-bee.toml","vibe-coding-tools local codex",".codex","9/5/2026 8:55:24 AM","GitHub/vibe-coding-tools/.codex/agents/ai-coding-tools-worker-bee.toml","file",".codex/agents/ai-coding-tools-worker-bee.toml"
"agents","ai-tools-platform-guardian.md","legion-suite cursor",".cursor","5/20/2026 11:51:57 PM","GitHub/legion-suite/.cursor/agents/ai-tools-platform-guardian.md","file",".cursor/agents/ai-tools-platform-guardian.md"
"agents","ai-tools-platform-worker-bee.md","user global agents","","8/15/2026 4:05:49 AM",".agents/agents/ai-tools-platform-worker-bee.md","file","agents/ai-tools-platform-worker-bee.md"
"agents","ai-tools-platform-worker-bee.md","user global claude","","8/15/2026 4:05:49 AM",".claude/agents/ai-tools-platform-worker-bee.md","file","agents/ai-tools-platform-worker-bee.md"
"agents","ai-tools-platform-worker-bee.md","user global cursor","","8/15/2026 4:05:49 AM",".cursor/agents/ai-tools-platform-worker-bee.md","file","agents/ai-tools-platform-worker-bee.md"
"agents","ai-tools-platform-worker-bee.md","vibe-coding-tools canonical",".claude","9/4/2026 3:51:33 AM","GitHub/vibe-coding-tools/.claude/agents/ai-tools-platform-worker-bee.md","file",".claude/agents/ai-tools-platform-worker-bee.md"
