Namespace,Asset,Asset Type,Destination,Source
"honeybee-core","adr-writing-worker-bee.md","agents","agents/adr-writing-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","agile-scrum-worker-bee.md","agents","agents/agile-scrum-worker-bee.md","vibe-coding-tools canonical"
"my-computer","ai-coding-tools-worker-bee.md","agents","agents/ai-coding-tools-worker-bee.md","vibe-coding-tools canonical"
"my-computer","ai-tools-platform-worker-bee.md","agents","agents/ai-tools-platform-worker-bee.md","vibe-coding-tools canonical"
"websites","api-docs-worker-bee.md","agents","agents/api-docs-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","app-store-submission-worker-bee.md","agents","agents/app-store-submission-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","archivist-worker-bee.md","agents","agents/archivist-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","asset-worker-bee.md","agents","agents/asset-worker-bee.md","vibe-coding-tools canonical"
"web-apps","auth-worker-bee.md","agents","agents/auth-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","branching-strategy-worker-bee.md","agents","agents/branching-strategy-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","changelog-release-notes-worker-bee.md","agents","agents/changelog-release-notes-worker-bee.md","vibe-coding-tools canonical"
"marketing","changelog-release-notes-worker-bee.md","agents","agents/changelog-release-notes-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","ci-release-worker-bee.md","agents","agents/ci-release-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","code-review-pr-worker-bee.md","agents","agents/code-review-pr-worker-bee.md","vibe-coding-tools canonical"
"marketing","competitive-research-worker-bee.md","agents","agents/competitive-research-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","cron-scheduling-worker-bee.md","agents","agents/cron-scheduling-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","csv-xlsx-import-export-worker-bee.md","agents","agents/csv-xlsx-import-export-worker-bee.md","vibe-coding-tools canonical"
"my-computer","cursor-ide-worker-bee.md","agents","agents/cursor-ide-worker-bee.md","vibe-coding-tools canonical"
"web-apps","dark-mode-theming-worker-bee.md","agents","agents/dark-mode-theming-worker-bee.md","vibe-coding-tools canonical"
"web-apps","db-worker-bee.md","agents","agents/db-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","dependency-audit-worker-bee.md","agents","agents/dependency-audit-worker-bee.md","vibe-coding-tools canonical"
"danger-zone","dependency-audit-worker-bee.md","agents","agents/dependency-audit-worker-bee.md","vibe-coding-tools canonical"
"websites","design-system-worker-bee.md","agents","agents/design-system-worker-bee.md","vibe-coding-tools canonical"
"honeybee-core","devops-worker-bee.md","agents","agents/devops-worker-bee.md","vibe-coding-tools canonical"
"web-apps","devops-worker-bee.md","agents","agents/devops-worker-bee.md","vibe-coding-tools canonical"
