"Action","Type","Asset","Source","Updated","Destination","Reason","Source Path Relative to Home"
"quarantine-unpaired-or-legacy","skills","_to_delete","littlebird-skills","8/17/2026 12:21:46 PM","quarantine\skills\_to_delete","unpaired or unmatched legacy asset","GitHub/littlebird-skills/skills/_to_delete"
"quarantine-unpaired-or-legacy","skills",".system","user global codex","9/3/2026 10:57:43 PM","quarantine\skills\.system","unpaired or unmatched legacy asset",".codex/skills/.system"
"superseded-legacy","agents","adr-writing-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/adr-writing-guardian.md"
"canonical-authority","skills","adr-writing-stinger","user global claude","9/4/2026 10:11:12 PM","","canonical-authority",".claude/skills/adr-writing-stinger"
"active-canonical","skills","adr-writing-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\adr-writing-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/adr-writing-stinger"
"superseded-legacy","skills","adr-writing-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/adr-writing-weapon"
"active-canonical","agents","adr-writing-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\adr-writing-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/adr-writing-worker-bee.md"
"canonical-authority","agents","adr-writing-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/adr-writing-worker-bee.toml"
"superseded-legacy","agents","affiliate-referral-program-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/affiliate-referral-program-guardian.md"
"active-paired","skills","affiliate-referral-program-stinger","user global claude","6/18/2026 5:54:35 AM","skills\affiliate-referral-program-stinger","complete pair or additive non-pair asset",".claude/skills/affiliate-referral-program-stinger"
"superseded-legacy","skills","affiliate-referral-program-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/affiliate-referral-program-weapon"
"active-paired","agents","affiliate-referral-program-worker-bee.md","user global claude","6/18/2026 5:54:35 AM","agents\affiliate-referral-program-worker-bee.md","complete pair or additive non-pair asset",".claude/agents/affiliate-referral-program-worker-bee.md"
"superseded-legacy","agents","agile-scrum-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/agile-scrum-guardian.md"
"active-canonical","skills","agile-scrum-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\agile-scrum-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/agile-scrum-stinger"
"canonical-authority","skills","agile-scrum-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/agile-scrum-stinger"
"superseded-legacy","skills","agile-scrum-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/agile-scrum-weapon"
"active-canonical","agents","agile-scrum-worker-bee.md","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","agents\agile-scrum-worker-bee.md","canonical baseline","GitHub/vibe-coding-tools/.claude/agents/agile-scrum-worker-bee.md"
"canonical-authority","agents","agile-scrum-worker-bee.toml","vibe-coding-tools local codex","9/5/2026 8:55:24 AM","","canonical-authority","GitHub/vibe-coding-tools/.codex/agents/agile-scrum-worker-bee.toml"
"superseded-legacy","agents","ai-coding-tools-guardian.md","legion-suite cursor","5/20/2026 11:51:57 PM","","superseded-legacy","GitHub/legion-suite/.cursor/agents/ai-coding-tools-guardian.md"
"active-canonical","skills","ai-coding-tools-stinger","vibe-coding-tools canonical","9/4/2026 3:51:33 AM","skills\ai-coding-tools-stinger","canonical baseline","GitHub/vibe-coding-tools/.claude/skills/ai-coding-tools-stinger"
"canonical-authority","skills","ai-coding-tools-stinger","vibe-coding-tools local agents","9/4/2026 3:51:33 AM","","canonical-authority","GitHub/vibe-coding-tools/.agents/skills/ai-coding-tools-stinger"
"superseded-legacy","skills","ai-coding-tools-weapon","legion-suite cursor","5/22/2026 11:01:53 PM","","superseded-legacy","GitHub/legion-suite/.cursor/skills/ai-coding-tools-weapon"
